LBTEST,LBTESTCD,LBSPEC
Lymphocytes,LYM,WHOLE BLOOD
Neutrophils/Leukocytes,NEUTLE,WHOLE BLOOD
Leukocytes,WBC,WHOLE BLOOD
Urea,UREA,SERUM
Lymphocytes/Leukocytes,LYMLE,WHOLE BLOOD
Bilirubin,BILI,PLASMA
Basophils,BASO,PLASMA
"Lymphocytes Atypical, Reactive",ATYP,PLASMA
Glucose,GLUC,PLASMA
Globulin,GLOBUL,PLASMA
Albumin/Globulin,ALBGLOB,PLASMA
Amorphous Phosphate Crystals,CYAMPPH,URINE
Lipase,LIPASE,SERUM
Bili-c,BILIC-TI,SERUM
ALD,ALD,Liver Bio Chemie
Nucl Shad,SMDGCE,PLASMA
Total Plasma Cells,PLSTCE,PLASMA
Metamyelocytes,METAMY,PLASMA
7-Ethoxyresorufin deethylase,EROD,LIVER
Blasts,BLAST,WHOLE BLOOD
Estradiol,EST-2,PLASMA
Cortisol,COR,PLASMA
Type I Collagen C-Telopeptides,CTXI,SERUM
Muricholic acid-omega,MCAO,PLASMA
b S-Bile Acids,BTBA,SERUM
UDP-Glucuronyltransferase,UGT,UDP-Glucuronyltransferase
EPO,EPO,PLASMA
Heinz-B.,HIK,PLASMA
Glucose,GLUC,WHOLE BLOOD
Thyroxine,T4,WHOLE BLOOD
ATYP-LY,ATYP-LY,WHOLE BLOOD
MICROC-M,MICROC-M,WHOLE BLOOD
Nucleated Erythrocytes,RBCNUC,WHOLE BLOOD
"Neutrophils, Segmented",NEUTSG,WHOLE BLOOD
LyTyp08,LYTYP08,WHOLE BLOOD
LyTyp24,LYTYP24,WHOLE BLOOD
LyTyp25,LYTYP25,WHOLE BLOOD
LyTyp30,LYTYP30,WHOLE BLOOD
Granulopoiesis,BM20,Granulopoiesis
Plasma cells,BM13,PLASMA
INSU-Ratte,INSU-RA,PLASMA
Troponin I,TROPONI,SERUM
CrossLaps,CTX-1,PLASMA
ImFun22,IMFUN22,WHOLE BLOOD
b urinary protein quantitative,BUPROTQ,URINE
b UGLUCQ corrected for CREA,BUGLUCQC,URINE
Calcium,CA,SERUM
Chloride,CL,SERUM
Large Unstained Cells/Leukocytes,LGLUCLE,WHOLE BLOOD
Ery. Mean Corpuscular HGB Concentration,MCHC,WHOLE BLOOD
Glutamate Dehydrogenase,GLDH,SERUM
Albumin,ALB,SERUM
Lactate Dehydrogenase,LDH,SERUM
Monocytes/Leukocytes,MONOLE,WHOLE BLOOD
Microcytes,MICROCY,PLASMA
Thrombocytes,THROMNUC,PLASMA
Urothelial Cells,UROTHCE,URINE
"Glutathione S-Transferase, Total",GST,Liver Bio Chemie
Globulin,GLOBUL,SERUM
"Protein, dipstick urine",UPROT,URINE
Unclassified Casts,CSUNCLA,URINE
Cholic acid,COAC,PLASMA
Muricholic acid-alpha,MCAA,PLASMA
Hyodeoxycholic acid,HDCA,PLASMA
Calcium,CA,URINE
Calcium Phosphate Crystals,CYCAPHOS,URINE
Protein,PROT,WHOLE BLOOD
Sodium,SODIUM,URINE
Cl-B,B-CL,URINE
HDL-RD,HDL-RD,SERUM
LyTyp33,LYTYP33,WHOLE BLOOD
Blast cells,BM01,Blast cells
BLEU-STIX,BLEU,URINE
ImFun03,IMFUN03,WHOLE BLOOD
ImFun26,IMFUN26,WHOLE BLOOD
b urinary glucose quantitative,BUGLUCQ,URINE
NAG-Urine,U-NAG,URINE
GGT/CREA,U-GGTC,URINE
Erythrocytes,RBC,WHOLE BLOOD
Cholesterol,CHOL,SERUM
Urobilinogen,UROBIL,URINE
Neutrophils,NEUT,PLASMA
Ery. Mean Corpuscular Hemoglobin,MCH,PLASMA
Calcium Oxalate Crystals,CYCAOXA,URINE
Uric Acid Crystals,CYURIAC,URINE
Epithelial Casts,CSEPI,URINE
Creatinine Excretion Rate,CREATEXR,URINE
Creatinine,CREAT,URINE
Bacteria,BACT,URINE
Others4,OTHERS4,URINE
Platelets,PLAT,WHOLE BLOOD
Erythrocytes Distribution Width,RDW,WHOLE BLOOD
Potassium,K,PLASMA
Thyroxine,T4,SERUM
Platelets,PLAT,PLASMA
P450,LB-CYT,LIVER
N-DEM,LB-NDE,LIVER
C Reactive Protein,CRP,SERUM
Unclassified Crystals,CYUNCLA,URINE
Glycocholic Acid,GCHT,PLASMA
Glycochenodeoxycholic acid,GCDCA,PLASMA
tauromuricholic acid-alpha&beta sum,TMCA,PLASMA
Taurocholic acid,TCA,PLASMA
LDL-RD,LDL-RD,WHOLE BLOOD
Phosphate,PHOS,WHOLE BLOOD
Triiodothyronine,T3,WHOLE BLOOD
HDL-Cholesterol,HDL,SERUM
Toxic Granulation,TOXGRAN,WHOLE BLOOD
Potassium,K,URINE
K-B,B-K,URINE
LyTyp10,LYTYP10,WHOLE BLOOD
LyTyp22,LYTYP22,WHOLE BLOOD
LyTyp28,LYTYP28,WHOLE BLOOD
LyTyp31,LYTYP31,WHOLE BLOOD
Neutrophil granulo immature,BM04,Neutrophil granulo immature
Basophil granulo mature,BM10,Basophil granulo mature
VOL per kg,U-KVOL,URINE
CREA*KVOL,U-CREKVO,URINE
pH-Electr-b,BPH-E,URINE
ImFun01,IMFUN01,WHOLE BLOOD
ImFun28,IMFUN28,WHOLE BLOOD
ImFun24,IMFUN24,WHOLE BLOOD
b conjugated bilirubin,BCBIL,SERUM
NAG/CREA,U-NAG/CR,URINE
