SPREFID,USUBJID,SEX,MISPEC,MISEVTXT,MISEV,MIORRES,MIRESCAT,MIDY,trial_set_description
T103239-8,T103239-8-0087,F,"BONE MARROW, FEMUR","",,UNREMARKABLE,,58,CG
T103239-8,T103239-8-0087,F,"GLAND, ADRENAL","",,UNREMARKABLE,,58,CG
T103239-8,T103239-8-0087,F,SPLEEN,"",,UNREMARKABLE,,58,CG
T103239-8,T103239-8-0087,F,TRACHEA,"",,UNREMARKABLE,,58,CG
T103239-8,T103239-8-0087,F,"GLAND, THYROID",MINIMAL,1,Alteration,NON-NEOPLASTIC,58,CG
T103239-8,T103239-8-0087,F,ESOPHAGUS,"",,UNREMARKABLE,,58,CG
T103239-8,T103239-8-0087,F,PEYER'S PATCH,"",,UNREMARKABLE,,58,CG
T103239-8,T103239-8-0018,M,"GLAND, THYROID",MINIMAL,1,Alteration,NON-NEOPLASTIC,58,CG
T103239-8,T103239-8-0018,M,PEYER'S PATCH,MINIMAL,1,MINERALIZATION,NON-NEOPLASTIC,58,CG
T103239-8,T103239-8-0018,M,"BONE, STERNUM","",,UNREMARKABLE,,58,CG
T103239-8,T103239-8-0018,M,"GLAND, ADRENAL","",,UNREMARKABLE,,58,CG
T103239-8,T103239-8-0018,M,"SMALL INTESTINE, JEJUNUM","",,UNREMARKABLE,,58,CG
T103239-8,T103239-8-0018,M,SPLEEN,"",,UNREMARKABLE,,58,CG
T103239-8,T103239-8-0018,M,TRACHEA,"",,UNREMARKABLE,,58,CG
T103239-8,T103239-8-0018,M,"BONE MARROW, FEMUR","",,UNREMARKABLE,,58,CG
T103239-8,T103239-8-0018,M,THYMUS,"",,UNREMARKABLE,,58,CG
T103239-8,T103239-8-0018,M,"BONE, FEMUR","",,UNREMARKABLE,,58,CG
T103239-8,T103239-8-0018,M,"SMALL INTESTINE, DUODENUM","",,UNREMARKABLE,,58,CG
T103239-8,T103239-8-0018,M,"LARGE INTESTINE, RECTUM","",,UNREMARKABLE,,58,CG
T103239-8,T103239-8-0018,M,"LARGE INTESTINE, CECUM","",,UNREMARKABLE,,58,CG
T103239-8,T103239-8-0018,M,"SMALL INTESTINE, ILEUM","",,UNREMARKABLE,,58,CG
T103239-8,T103239-8-0018,M,"LARGE INTESTINE, COLON","",,UNREMARKABLE,,58,CG
T103239-8,T103239-8-0018,M,STOMACH,"",,UNREMARKABLE,,58,CG
T103239-8,T103239-8-0018,M,"GLAND, PARATHYROID","",,,,58,CG
T103239-8,T103239-8-0018,M,"GLAND, THYROID",MILD,2,HYPERTROPHY,NON-NEOPLASTIC,58,CG
T103239-8,T103239-8-0018,M,"BONE MARROW, STERNUM","",,UNREMARKABLE,,58,CG
T103239-8,T103239-8-0018,M,ESOPHAGUS,"",,UNREMARKABLE,,58,CG
T103239-8,T103239-8-0018,M,PANCREAS,"",,UNREMARKABLE,,58,CG
T103239-8,T103239-8-0018,M,"GLAND, PITUITARY","",,UNREMARKABLE,,58,CG
T103239-8,T103239-8-0018,M,LIVER,"",,UNREMARKABLE,,58,CG
T103239-8,T103239-8-0082,F,EYE,"",,UNREMARKABLE,,30,CG
T103239-8,T103239-8-0082,F,KIDNEY,"",,UNREMARKABLE,,30,CG
T103239-8,T103239-8-0082,F,"NERVE, OPTIC","",,UNREMARKABLE,,30,CG
T103239-8,T103239-8-0082,F,"GLAND, SALIVARY, PAROTID","",,UNREMARKABLE,,30,CG
T103239-8,T103239-8-0082,F,"LYMPH NODE, MESENTERIC","",,UNREMARKABLE,,30,CG
T103239-8,T103239-8-0082,F,"BONE, FEMUR","",,UNREMARKABLE,,30,CG
T103239-8,T103239-8-0082,F,ESOPHAGUS,"",,UNREMARKABLE,,30,CG
T103239-8,T103239-8-0082,F,"LYMPH NODE, ILIAC","",,UNREMARKABLE,,30,CG
T103239-8,T103239-8-0082,F,SPINAL CORD,"",,UNREMARKABLE,,30,CG
T103239-8,T103239-8-0082,F,TRACHEA,"",,UNREMARKABLE,,30,CG
T103239-8,T103239-8-0082,F,"BONE, STERNUM","",,UNREMARKABLE,,30,CG
T103239-8,T103239-8-0082,F,"GLAND, THYROID",MINIMAL,1,Alteration,NON-NEOPLASTIC,30,CG
T103239-8,T103239-8-0082,F,"ARTERY, AORTA","",,UNREMARKABLE,,30,CG
T103239-8,T103239-8-0082,F,"GLAND, HARDERIAN","",,UNREMARKABLE,,30,CG
T103239-8,T103239-8-0082,F,SKIN,"",,UNREMARKABLE,,30,CG
T103239-8,T103239-8-0082,F,"SMALL INTESTINE, ILEUM","",,UNREMARKABLE,,30,CG
T103239-8,T103239-8-0082,F,"GLAND, MAMMARY","",,UNREMARKABLE,,30,CG
T103239-8,T103239-8-0082,F,"GLAND, PITUITARY","",,UNREMARKABLE,,30,CG
T103239-8,T103239-8-0082,F,VAGINA,"",,Cycle Metestrus,NON-NEOPLASTIC,30,CG
T103239-8,T103239-8-0082,F,LUNG,"",,UNREMARKABLE,,30,CG
T103239-8,T103239-8-0082,F,THYMUS,"",,UNREMARKABLE,,30,CG
T103239-8,T103239-8-0082,F,URINARY BLADDER,"",,UNREMARKABLE,,30,CG
T103239-8,T103239-8-0082,F,UTERUS,"",,UNREMARKABLE,,30,CG
T103239-8,T103239-8-0082,F,"GLAND, THYROID",MINIMAL,1,HYPERTROPHY,NON-NEOPLASTIC,30,CG
T103239-8,T103239-8-0082,F,"SMALL INTESTINE, DUODENUM","",,UNREMARKABLE,,30,CG
T103239-8,T103239-8-0082,F,TONGUE,"",,UNREMARKABLE,,30,CG
T103239-8,T103239-8-0082,F,"NERVE, SCIATIC","",,UNREMARKABLE,,30,CG
T103239-8,T103239-8-0082,F,STOMACH,"",,UNREMARKABLE,,30,CG
T103239-8,T103239-8-0082,F,HEART,"",,UNREMARKABLE,,30,CG
T103239-8,T103239-8-0082,F,"BONE MARROW, FEMUR","",,UNREMARKABLE,,30,CG
T103239-8,T103239-8-0082,F,BRAIN,"",,UNREMARKABLE,,30,CG
T103239-8,T103239-8-0082,F,URETER,"",,UNREMARKABLE,,30,CG
T103239-8,T103239-8-0082,F,"GLAND, LACRIMAL","",,UNREMARKABLE,,30,CG
T103239-8,T103239-8-0082,F,LARYNX,"",,UNREMARKABLE,,30,CG
T103239-8,T103239-8-0082,F,"LYMPH NODE, MANDIBULAR",MINIMAL,1,Erythocytes intrasinusoidal,NON-NEOPLASTIC,30,CG
T103239-8,T103239-8-0082,F,"GLAND, ADRENAL","",,UNREMARKABLE,,30,CG
T103239-8,T103239-8-0082,F,OVIDUCT,"",,UNREMARKABLE,,30,CG
T103239-8,T103239-8-0082,F,"GLAND, PARATHYROID","",,UNREMARKABLE,,30,CG
T103239-8,T103239-8-0082,F,"LARGE INTESTINE, CECUM","",,UNREMARKABLE,,30,CG
T103239-8,T103239-8-0082,F,PANCREAS,"",,UNREMARKABLE,,30,CG
T103239-8,T103239-8-0082,F,"BONE MARROW, STERNUM","",,UNREMARKABLE,,30,CG
T103239-8,T103239-8-0082,F,LIVER,"",,UNREMARKABLE,,30,CG
T103239-8,T103239-8-0082,F,"GLAND, SALIVARY, SUBLINGUAL","",,UNREMARKABLE,,30,CG
T103239-8,T103239-8-0082,F,"MUSCLE, SKELETAL","",,UNREMARKABLE,,30,CG
T103239-8,T103239-8-0082,F,"SMALL INTESTINE, JEJUNUM","",,UNREMARKABLE,,30,CG
T103239-8,T103239-8-0082,F,OVARY,"",,UNREMARKABLE,,30,CG
T103239-8,T103239-8-0082,F,PEYER'S PATCH,"",,UNREMARKABLE,,30,CG
T103239-8,T103239-8-0082,F,SKIN/SUBCUTIS,"",,UNREMARKABLE,,30,CG
T103239-8,T103239-8-0082,F,"GLAND, SALIVARY, SUBMANDIBULAR","",,UNREMARKABLE,,30,CG
T103239-8,T103239-8-0082,F,"LARGE INTESTINE, COLON","",,UNREMARKABLE,,30,CG
T103239-8,T103239-8-0082,F,"LARGE INTESTINE, RECTUM","",,UNREMARKABLE,,30,CG
T103239-8,T103239-8-0082,F,SKIN,"",,UNREMARKABLE,,30,CG
T103239-8,T103239-8-0082,F,SPLEEN,"",,UNREMARKABLE,,30,CG
T103239-8,T103239-8-0079,F,"LYMPH NODE, MANDIBULAR","",,UNREMARKABLE,,31,CG
T103239-8,T103239-8-0079,F,"LARGE INTESTINE, COLON","",,UNREMARKABLE,,31,CG
T103239-8,T103239-8-0079,F,PEYER'S PATCH,"",,UNREMARKABLE,,31,CG
T103239-8,T103239-8-0079,F,BRAIN,"",,UNREMARKABLE,,31,CG
T103239-8,T103239-8-0079,F,"LARGE INTESTINE, RECTUM","",,UNREMARKABLE,,31,CG
T103239-8,T103239-8-0079,F,ESOPHAGUS,"",,UNREMARKABLE,,31,CG
T103239-8,T103239-8-0079,F,"GLAND, HARDERIAN","",,UNREMARKABLE,,31,CG
T103239-8,T103239-8-0079,F,LUNG,"",,UNREMARKABLE,,31,CG
T103239-8,T103239-8-0079,F,"SMALL INTESTINE, ILEUM","",,UNREMARKABLE,,31,CG
T103239-8,T103239-8-0079,F,SPLEEN,"",,UNREMARKABLE,,31,CG
T103239-8,T103239-8-0079,F,URINARY BLADDER,"",,UNREMARKABLE,,31,CG
T103239-8,T103239-8-0079,F,"LYMPH NODE, MESENTERIC","",,UNREMARKABLE,,31,CG
T103239-8,T103239-8-0079,F,TRACHEA,"",,UNREMARKABLE,,31,CG
T103239-8,T103239-8-0079,F,"BONE, FEMUR","",,UNREMARKABLE,,31,CG
T103239-8,T103239-8-0079,F,"GLAND, PARATHYROID","",,UNREMARKABLE,,31,CG
T103239-8,T103239-8-0079,F,STOMACH,"",,UNREMARKABLE,,31,CG
T103239-8,T103239-8-0079,F,"GLAND, MAMMARY","",,UNREMARKABLE,,31,CG
T103239-8,T103239-8-0079,F,"BONE MARROW, FEMUR","",,UNREMARKABLE,,31,CG
T103239-8,T103239-8-0079,F,"GLAND, PITUITARY","",,UNREMARKABLE,,31,CG
T103239-8,T103239-8-0079,F,SKIN/SUBCUTIS,"",,UNREMARKABLE,,31,CG
T103239-8,T103239-8-0079,F,"ARTERY, AORTA","",,UNREMARKABLE,,31,CG
T103239-8,T103239-8-0079,F,"MUSCLE, SKELETAL","",,UNREMARKABLE,,31,CG
T103239-8,T103239-8-0079,F,"BONE MARROW, STERNUM","",,UNREMARKABLE,,31,CG
T103239-8,T103239-8-0079,F,"GLAND, SALIVARY, PAROTID","",,UNREMARKABLE,,31,CG
T103239-8,T103239-8-0079,F,"GLAND, ADRENAL","",,UNREMARKABLE,,31,CG
T103239-8,T103239-8-0079,F,"GLAND, SALIVARY, SUBMANDIBULAR","",,UNREMARKABLE,,31,CG
T103239-8,T103239-8-0079,F,"LYMPH NODE, ILIAC","",,UNREMARKABLE,,31,CG
T103239-8,T103239-8-0079,F,VAGINA,"",,Cycle Estrus,NON-NEOPLASTIC,31,CG
T103239-8,T103239-8-0079,F,"BONE, STERNUM","",,UNREMARKABLE,,31,CG
T103239-8,T103239-8-0079,F,"GLAND, SALIVARY, SUBLINGUAL","",,UNREMARKABLE,,31,CG
T103239-8,T103239-8-0079,F,SKIN,"",,UNREMARKABLE,,31,CG
T103239-8,T103239-8-0079,F,SKIN,"",,UNREMARKABLE,,31,CG
T103239-8,T103239-8-0079,F,KIDNEY,MINIMAL,1,INFILTRATE,NON-NEOPLASTIC,31,CG
T103239-8,T103239-8-0079,F,EYE,"",,UNREMARKABLE,,31,CG
T103239-8,T103239-8-0079,F,"GLAND, THYROID","",,UNREMARKABLE,,31,CG
T103239-8,T103239-8-0079,F,HEART,"",,UNREMARKABLE,,31,CG
T103239-8,T103239-8-0079,F,OVIDUCT,"",,UNREMARKABLE,,31,CG
T103239-8,T103239-8-0079,F,TONGUE,"",,UNREMARKABLE,,31,CG
T103239-8,T103239-8-0079,F,LIVER,"",,UNREMARKABLE,,31,CG
T103239-8,T103239-8-0079,F,"NERVE, SCIATIC","",,,,31,CG
T103239-8,T103239-8-0079,F,"GLAND, LACRIMAL","",,UNREMARKABLE,,31,CG
T103239-8,T103239-8-0079,F,"SMALL INTESTINE, DUODENUM","",,UNREMARKABLE,,31,CG
T103239-8,T103239-8-0079,F,LARYNX,"",,UNREMARKABLE,,31,CG
T103239-8,T103239-8-0079,F,"NERVE, OPTIC","",,UNREMARKABLE,,31,CG
T103239-8,T103239-8-0079,F,THYMUS,"",,UNREMARKABLE,,31,CG
T103239-8,T103239-8-0079,F,UTERUS,MILD,2,DILATATION,NON-NEOPLASTIC,31,CG
T103239-8,T103239-8-0079,F,URETER,"",,UNREMARKABLE,,31,CG
T103239-8,T103239-8-0079,F,LIVER,MINIMAL,1,ACCUMULATION,NON-NEOPLASTIC,31,CG
T103239-8,T103239-8-0079,F,"LARGE INTESTINE, CECUM","",,UNREMARKABLE,,31,CG
T103239-8,T103239-8-0079,F,OVARY,"",,UNREMARKABLE,,31,CG
T103239-8,T103239-8-0079,F,PANCREAS,"",,UNREMARKABLE,,31,CG
T103239-8,T103239-8-0079,F,"SMALL INTESTINE, JEJUNUM","",,UNREMARKABLE,,31,CG
T103239-8,T103239-8-0079,F,SPINAL CORD,"",,UNREMARKABLE,,31,CG
T103239-8,T103239-8-0076,F,"SMALL INTESTINE, ILEUM","",,UNREMARKABLE,,31,CG
T103239-8,T103239-8-0076,F,TRACHEA,"",,UNREMARKABLE,,31,CG
T103239-8,T103239-8-0076,F,BRAIN,"",,UNREMARKABLE,,31,CG
T103239-8,T103239-8-0076,F,"GLAND, HARDERIAN","",,UNREMARKABLE,,31,CG
T103239-8,T103239-8-0076,F,"GLAND, THYROID","",,UNREMARKABLE,,31,CG
T103239-8,T103239-8-0076,F,SKIN,"",,UNREMARKABLE,,31,CG
T103239-8,T103239-8-0076,F,SKIN,"",,UNREMARKABLE,,31,CG
T103239-8,T103239-8-0076,F,"SMALL INTESTINE, DUODENUM","",,UNREMARKABLE,,31,CG
T103239-8,T103239-8-0076,F,SPINAL CORD,"",,UNREMARKABLE,,31,CG
T103239-8,T103239-8-0076,F,SPLEEN,MILD,2,EXTRAMEDULLARY HEMATOPOIESIS,NON-NEOPLASTIC,31,CG
T103239-8,T103239-8-0076,F,"BONE MARROW, FEMUR","",,UNREMARKABLE,,31,CG
T103239-8,T103239-8-0076,F,"BONE, FEMUR","",,UNREMARKABLE,,31,CG
T103239-8,T103239-8-0076,F,EYE,"",,UNREMARKABLE,,31,CG
T103239-8,T103239-8-0076,F,LIVER,"",,UNREMARKABLE,,31,CG
T103239-8,T103239-8-0076,F,"LARGE INTESTINE, COLON","",,UNREMARKABLE,,31,CG
T103239-8,T103239-8-0076,F,LARYNX,"",,UNREMARKABLE,,31,CG
T103239-8,T103239-8-0076,F,SKIN/SUBCUTIS,"",,UNREMARKABLE,,31,CG
T103239-8,T103239-8-0076,F,URETER,"",,UNREMARKABLE,,31,CG
T103239-8,T103239-8-0076,F,"GLAND, LACRIMAL","",,UNREMARKABLE,,31,CG
T103239-8,T103239-8-0076,F,LUNG,"",,UNREMARKABLE,,31,CG
T103239-8,T103239-8-0076,F,"NERVE, OPTIC","",,UNREMARKABLE,,31,CG
T103239-8,T103239-8-0076,F,"LARGE INTESTINE, RECTUM","",,UNREMARKABLE,,31,CG
T103239-8,T103239-8-0076,F,STOMACH,"",,UNREMARKABLE,,31,CG
T103239-8,T103239-8-0076,F,TONGUE,"",,UNREMARKABLE,,31,CG
T103239-8,T103239-8-0076,F,OVARY,"",,UNREMARKABLE,,31,CG
T103239-8,T103239-8-0076,F,"BONE MARROW, STERNUM","",,UNREMARKABLE,,31,CG
T103239-8,T103239-8-0076,F,UTERUS,MILD,2,DILATATION,NON-NEOPLASTIC,31,CG
T103239-8,T103239-8-0076,F,"LYMPH NODE, ILIAC","",,UNREMARKABLE,,31,CG
T103239-8,T103239-8-0076,F,"GLAND, SALIVARY, SUBMANDIBULAR","",,UNREMARKABLE,,31,CG
T103239-8,T103239-8-0076,F,HEART,"",,UNREMARKABLE,,31,CG
T103239-8,T103239-8-0076,F,PEYER'S PATCH,"",,UNREMARKABLE,,31,CG
T103239-8,T103239-8-0076,F,"LARGE INTESTINE, CECUM","",,UNREMARKABLE,,31,CG
T103239-8,T103239-8-0076,F,OVIDUCT,"",,UNREMARKABLE,,31,CG
T103239-8,T103239-8-0076,F,"SMALL INTESTINE, JEJUNUM","",,UNREMARKABLE,,31,CG
T103239-8,T103239-8-0076,F,ESOPHAGUS,"",,UNREMARKABLE,,31,CG
T103239-8,T103239-8-0076,F,"GLAND, PITUITARY","",,UNREMARKABLE,,31,CG
T103239-8,T103239-8-0076,F,KIDNEY,"",,UNREMARKABLE,,31,CG
T103239-8,T103239-8-0076,F,"LYMPH NODE, MANDIBULAR","",,UNREMARKABLE,,31,CG
T103239-8,T103239-8-0076,F,URINARY BLADDER,"",,UNREMARKABLE,,31,CG
T103239-8,T103239-8-0076,F,THYMUS,"",,UNREMARKABLE,,31,CG
T103239-8,T103239-8-0076,F,VAGINA,"",,Cycle Estrus,NON-NEOPLASTIC,31,CG
T103239-8,T103239-8-0076,F,"GLAND, MAMMARY","",,UNREMARKABLE,,31,CG
T103239-8,T103239-8-0076,F,"GLAND, SALIVARY, PAROTID","",,UNREMARKABLE,,31,CG
T103239-8,T103239-8-0076,F,"GLAND, SALIVARY, SUBLINGUAL","",,UNREMARKABLE,,31,CG
T103239-8,T103239-8-0076,F,"NERVE, SCIATIC","",,UNREMARKABLE,,31,CG
T103239-8,T103239-8-0076,F,"ARTERY, AORTA","",,UNREMARKABLE,,31,CG
T103239-8,T103239-8-0076,F,"BONE, STERNUM","",,UNREMARKABLE,,31,CG
T103239-8,T103239-8-0076,F,"MUSCLE, SKELETAL","",,UNREMARKABLE,,31,CG
T103239-8,T103239-8-0076,F,"LYMPH NODE, MESENTERIC","",,UNREMARKABLE,,31,CG
T103239-8,T103239-8-0076,F,PANCREAS,"",,UNREMARKABLE,,31,CG
T103239-8,T103239-8-0076,F,"GLAND, PARATHYROID","",,UNREMARKABLE,,31,CG
T103239-8,T103239-8-0076,F,"GLAND, ADRENAL","",,UNREMARKABLE,,31,CG
T103239-8,T103239-8-0010,M,URINARY BLADDER,"",,UNREMARKABLE,,30,CG
T103239-8,T103239-8-0010,M,"GLAND, SALIVARY, PAROTID","",,UNREMARKABLE,,30,CG
T103239-8,T103239-8-0010,M,"LARGE INTESTINE, CECUM","",,UNREMARKABLE,,30,CG
T103239-8,T103239-8-0010,M,TONGUE,"",,UNREMARKABLE,,30,CG
T103239-8,T103239-8-0010,M,"GLAND, PITUITARY","",,UNREMARKABLE,,30,CG
T103239-8,T103239-8-0010,M,"GLAND, PROSTATE","",,UNREMARKABLE,,30,CG
T103239-8,T103239-8-0010,M,"GLAND, SEMINAL VESICLE","",,UNREMARKABLE,,30,CG
T103239-8,T103239-8-0010,M,"MUSCLE, SKELETAL","",,UNREMARKABLE,,30,CG
T103239-8,T103239-8-0010,M,PANCREAS,"",,UNREMARKABLE,,30,CG
T103239-8,T103239-8-0010,M,TESTIS,"",,UNREMARKABLE,,30,CG
T103239-8,T103239-8-0010,M,LUNG,MINIMAL,1,INFILTRATE,NON-NEOPLASTIC,30,CG
T103239-8,T103239-8-0010,M,ESOPHAGUS,"",,UNREMARKABLE,,30,CG
T103239-8,T103239-8-0010,M,"BONE, FEMUR","",,UNREMARKABLE,,30,CG
T103239-8,T103239-8-0010,M,"GLAND, THYROID","",,UNREMARKABLE,,30,CG
T103239-8,T103239-8-0010,M,TRACHEA,"",,UNREMARKABLE,,30,CG
T103239-8,T103239-8-0010,M,BRAIN,"",,UNREMARKABLE,,30,CG
T103239-8,T103239-8-0010,M,SPINAL CORD,"",,UNREMARKABLE,,30,CG
T103239-8,T103239-8-0010,M,HEART,"",,UNREMARKABLE,,30,CG
T103239-8,T103239-8-0010,M,"LYMPH NODE, MESENTERIC","",,UNREMARKABLE,,30,CG
T103239-8,T103239-8-0010,M,STOMACH,"",,UNREMARKABLE,,30,CG
T103239-8,T103239-8-0010,M,"BONE MARROW, FEMUR","",,UNREMARKABLE,,30,CG
T103239-8,T103239-8-0010,M,"GLAND, HARDERIAN",MILD,2,INFLAMMATION,NON-NEOPLASTIC,30,CG
T103239-8,T103239-8-0010,M,"BONE MARROW, STERNUM","",,UNREMARKABLE,,30,CG
T103239-8,T103239-8-0010,M,"LYMPH NODE, ILIAC","",,UNREMARKABLE,,30,CG
T103239-8,T103239-8-0010,M,"NERVE, SCIATIC","",,UNREMARKABLE,,30,CG
T103239-8,T103239-8-0010,M,LARYNX,"",,UNREMARKABLE,,30,CG
T103239-8,T103239-8-0010,M,SKIN/SUBCUTIS,"",,UNREMARKABLE,,30,CG
T103239-8,T103239-8-0010,M,"SMALL INTESTINE, ILEUM","",,UNREMARKABLE,,30,CG
T103239-8,T103239-8-0010,M,"GLAND, PARATHYROID","",,UNREMARKABLE,,30,CG
T103239-8,T103239-8-0010,M,SKIN,"",,UNREMARKABLE,,30,CG
T103239-8,T103239-8-0010,M,THYMUS,"",,UNREMARKABLE,,30,CG
T103239-8,T103239-8-0010,M,"GLAND, SALIVARY, SUBLINGUAL","",,UNREMARKABLE,,30,CG
T103239-8,T103239-8-0010,M,"LYMPH NODE, MANDIBULAR","",,UNREMARKABLE,,30,CG
T103239-8,T103239-8-0010,M,KIDNEY,MINIMAL,1,BASOPHILIA,NON-NEOPLASTIC,30,CG
T103239-8,T103239-8-0010,M,"GLAND, LACRIMAL",MILD,2,METAPLASIA,NON-NEOPLASTIC,30,CG
T103239-8,T103239-8-0010,M,"GLAND, ADRENAL","",,UNREMARKABLE,,30,CG
T103239-8,T103239-8-0010,M,"NERVE, OPTIC","",,UNREMARKABLE,,30,CG
T103239-8,T103239-8-0010,M,SKIN,"",,UNREMARKABLE,,30,CG
T103239-8,T103239-8-0010,M,URETER,"",,UNREMARKABLE,,30,CG
T103239-8,T103239-8-0010,M,"GLAND, HARDERIAN",MILD,2,HEMORRHAGE,NON-NEOPLASTIC,30,CG
T103239-8,T103239-8-0010,M,"GLAND, MAMMARY","",,UNREMARKABLE,,30,CG
T103239-8,T103239-8-0010,M,"GLAND, SALIVARY, SUBMANDIBULAR","",,UNREMARKABLE,,30,CG
T103239-8,T103239-8-0010,M,PEYER'S PATCH,"",,UNREMARKABLE,,30,CG
T103239-8,T103239-8-0010,M,"ARTERY, AORTA","",,UNREMARKABLE,,30,CG
T103239-8,T103239-8-0010,M,"GLAND, COAGULATING","",,UNREMARKABLE,,30,CG
T103239-8,T103239-8-0010,M,"SMALL INTESTINE, DUODENUM","",,UNREMARKABLE,,30,CG
T103239-8,T103239-8-0010,M,"BONE, STERNUM","",,UNREMARKABLE,,30,CG
T103239-8,T103239-8-0010,M,LIVER,"",,UNREMARKABLE,,30,CG
T103239-8,T103239-8-0010,M,EYE,"",,UNREMARKABLE,,30,CG
T103239-8,T103239-8-0010,M,"LARGE INTESTINE, COLON","",,UNREMARKABLE,,30,CG
T103239-8,T103239-8-0010,M,"LARGE INTESTINE, RECTUM","",,UNREMARKABLE,,30,CG
T103239-8,T103239-8-0010,M,EPIDIDYMIS,"",,UNREMARKABLE,,30,CG
T103239-8,T103239-8-0010,M,"SMALL INTESTINE, JEJUNUM","",,UNREMARKABLE,,30,CG
T103239-8,T103239-8-0010,M,SPLEEN,"",,UNREMARKABLE,,30,CG
T103239-8,T103239-8-0019,M,SPLEEN,MINIMAL,1,EXTRAMEDULLARY HEMATOPOIESIS,NON-NEOPLASTIC,58,CG
T103239-8,T103239-8-0019,M,TRACHEA,"",,UNREMARKABLE,,58,CG
T103239-8,T103239-8-0019,M,"GLAND, PITUITARY",MINIMAL,1,AGGREGATE,NON-NEOPLASTIC,58,CG
T103239-8,T103239-8-0019,M,"GLAND, THYROID",MINIMAL,1,Alteration,NON-NEOPLASTIC,58,CG
