SPREFID,USUBJID,CLLOC,STUDY_WEEK,CLORRES,CLRESCAT,CLSTAT,CLREASND,CLCAT,CLSEV,CLRFTDTC,CLTPTNUM,CLDY,SEX,trial_set_description
T104349-1,T104349-1-0083,,,NORMAL,CLINICAL SIGNS,,,Detailed Clinical Observation,,2019-04-24 08:35:00.000,2,9,F,CG
T104349-1,T104349-1-0083,,,NORMAL,CLINICAL SIGNS,,,Detailed Clinical Observation,,2019-04-25 08:43:00.000,1,10,F,CG
T104349-1,T104349-1-0083,,,NORMAL,CLINICAL SIGNS,,,Detailed Clinical Observation,,2019-04-25 10:57:00.000,2,10,F,CG
T104349-1,T104349-1-0083,,,NORMAL,CLINICAL SIGNS,,,Open Field Observation,,2019-04-25 08:43:00.000,3,10,F,CG
T104349-1,T104349-1-0083,,,NORMAL,CLINICAL SIGNS,,,Detailed Clinical Observation,,2019-04-21 06:40:00.000,1,6,F,CG
T104349-1,T104349-1-0083,,,NORMAL,CLINICAL SIGNS,,,Detailed Clinical Observation,,2019-04-21 08:16:00.000,2,6,F,CG
T104349-1,T104349-1-0083,,,NORMAL,CLINICAL SIGNS,,,Detailed Clinical Observation,,2019-04-20 06:57:00.000,1,5,F,CG
T104349-1,T104349-1-0083,,,NORMAL,CLINICAL SIGNS,,,Detailed Clinical Observation,,2019-04-20 08:41:00.000,2,5,F,CG
T104349-1,T104349-1-0083,,,NORMAL,CLINICAL SIGNS,,,Detailed Clinical Observation,,2019-04-23 07:07:00.000,1,8,F,CG
T104349-1,T104349-1-0083,,,NORMAL,CLINICAL SIGNS,,,Detailed Clinical Observation,,2019-04-23 09:13:00.000,2,8,F,CG
T104349-1,T104349-1-0083,,,NORMAL,CLINICAL SIGNS,,,Detailed Clinical Observation,,2019-04-22 06:44:00.000,1,7,F,CG
T104349-1,T104349-1-0083,,,NORMAL,CLINICAL SIGNS,,,Detailed Clinical Observation,,2019-04-22 08:19:00.000,2,7,F,CG
T104349-1,T104349-1-0083,,,NORMAL,CLINICAL SIGNS,,,Detailed Clinical Observation,,2019-04-19 07:04:00.000,1,4,F,CG
T104349-1,T104349-1-0083,,,NORMAL,CLINICAL SIGNS,,,Detailed Clinical Observation,,2019-04-19 08:49:00.000,2,4,F,CG
T104349-1,T104349-1-0083,,,NORMAL,CLINICAL SIGNS,,,Detailed Clinical Observation,,2019-04-18 08:31:00.000,1,3,F,CG
T104349-1,T104349-1-0083,,,NORMAL,CLINICAL SIGNS,,,Detailed Clinical Observation,,2019-04-18 11:02:00.000,2,3,F,CG
T104349-1,T104349-1-0083,,,NORMAL,CLINICAL SIGNS,,,Open Field Observation,,2019-04-18 08:31:00.000,3,3,F,CG
T104349-1,T104349-1-0083,,,NORMAL,CLINICAL SIGNS,,,Detailed Clinical Observation,,2019-04-15 07:33:00.000,,-1,F,CG
T104349-1,T104349-1-0083,,,NORMAL,CLINICAL SIGNS,,,Open Field Observation,,2019-04-15 07:34:00.000,,-1,F,CG
T104349-1,T104349-1-0083,,,NORMAL,CLINICAL SIGNS,,,Detailed Clinical Observation,,2019-04-08 06:57:00.000,,-8,F,CG
T104349-1,T104349-1-0083,,,NORMAL,CLINICAL SIGNS,,,Detailed Clinical Observation,,2019-04-17 08:44:00.000,1,2,F,CG
T104349-1,T104349-1-0083,,,NORMAL,CLINICAL SIGNS,,,Detailed Clinical Observation,,2019-04-17 10:28:00.000,2,2,F,CG
T104349-1,T104349-1-0083,,,NORMAL,OPHTHALMOLOGY,,,Ophthalmology With Ophthalmoscope,,2019-04-09 08:59:00.000,,-7,F,CG
T104349-1,T104349-1-0083,,,NORMAL,OPHTHALMOLOGY,,,Ophthalmology Pupil Reflex,,2019-04-09 08:58:00.000,,-7,F,CG
T104349-1,T104349-1-0083,,,NORMAL,OPHTHALMOLOGY,,,Ophthalmology Slit-Lamp Observation,,2019-04-09 08:59:00.000,,-7,F,CG
T104349-1,T104349-1-0083,,,NORMAL,CLINICAL SIGNS,,,Detailed Clinical Observation,,2019-04-16 09:04:00.000,1,1,F,CG
T104349-1,T104349-1-0083,,,NORMAL,CLINICAL SIGNS,,,Detailed Clinical Observation,,2019-04-16 10:25:00.000,2,1,F,CG
T104349-1,T104349-1-0083,,,NORMAL,CLINICAL SIGNS,,,Detailed Clinical Observation,,2019-05-07 07:14:00.000,1,22,F,CG
T104349-1,T104349-1-0083,,,NORMAL,CLINICAL SIGNS,,,Detailed Clinical Observation,,2019-05-07 09:51:00.000,2,22,F,CG
T104349-1,T104349-1-0083,,,NORMAL,CLINICAL SIGNS,,,Detailed Clinical Observation,,2019-05-04 09:16:00.000,1,19,F,CG
T104349-1,T104349-1-0083,,,NORMAL,CLINICAL SIGNS,,,Detailed Clinical Observation,,2019-05-04 10:57:00.000,2,19,F,CG
T104349-1,T104349-1-0083,,,NORMAL,CLINICAL SIGNS,,,Detailed Clinical Observation,,2019-05-03 07:14:00.000,1,18,F,CG
T104349-1,T104349-1-0083,,,NORMAL,CLINICAL SIGNS,,,Detailed Clinical Observation,,2019-05-03 08:42:00.000,2,18,F,CG
T104349-1,T104349-1-0083,,,NORMAL,CLINICAL SIGNS,,,Detailed Clinical Observation,,2019-05-06 07:28:00.000,1,21,F,CG
T104349-1,T104349-1-0083,,,NORMAL,CLINICAL SIGNS,,,Detailed Clinical Observation,,2019-05-06 09:05:00.000,2,21,F,CG
T104349-1,T104349-1-0083,,,NORMAL,CLINICAL SIGNS,,,Detailed Clinical Observation,,2019-05-08 07:35:00.000,1,23,F,CG
T104349-1,T104349-1-0083,,,NORMAL,CLINICAL SIGNS,,,Detailed Clinical Observation,,2019-05-08 10:10:00.000,2,23,F,CG
T104349-1,T104349-1-0083,,,NORMAL,CLINICAL SIGNS,,,Detailed Clinical Observation,,2019-05-05 09:25:00.000,1,20,F,CG
T104349-1,T104349-1-0083,,,NORMAL,CLINICAL SIGNS,,,Detailed Clinical Observation,,2019-05-05 11:13:00.000,2,20,F,CG
T104349-1,T104349-1-0083,,,NORMAL,CLINICAL SIGNS,,,Detailed Clinical Observation,,2019-05-15 06:58:00.000,1,30,F,CG
T104349-1,T104349-1-0083,,,NORMAL,CLINICAL SIGNS,,,Detailed Clinical Observation,,2019-05-15 08:09:00.000,2,30,F,CG
T104349-1,T104349-1-0083,,,NORMAL,CLINICAL SIGNS,,,Detailed Clinical Observation,,2019-05-16 09:12:00.000,1,31,F,CG
T104349-1,T104349-1-0083,,,NORMAL,CLINICAL SIGNS,,,Detailed Clinical Observation,,2019-05-16 10:18:00.000,2,31,F,CG
T104349-1,T104349-1-0083,,,NORMAL,CLINICAL SIGNS,,,Detailed Clinical Observation,,2019-05-14 07:37:00.000,1,29,F,CG
T104349-1,T104349-1-0083,,,NORMAL,CLINICAL SIGNS,,,Detailed Clinical Observation,,2019-05-14 08:53:00.000,2,29,F,CG
T104349-1,T104349-1-0083,,,NORMAL,CLINICAL SIGNS,,,Detailed Clinical Observation,,2019-05-12 07:47:00.000,1,27,F,CG
T104349-1,T104349-1-0083,,,NORMAL,CLINICAL SIGNS,,,Detailed Clinical Observation,,2019-05-12 10:04:00.000,2,27,F,CG
T104349-1,T104349-1-0083,,,NORMAL,CLINICAL SIGNS,,,Detailed Clinical Observation,,2019-05-11 07:31:00.000,1,26,F,CG
T104349-1,T104349-1-0083,,,NORMAL,CLINICAL SIGNS,,,Detailed Clinical Observation,,2019-05-11 09:52:00.000,2,26,F,CG
T104349-1,T104349-1-0083,,,NORMAL,CLINICAL SIGNS,,,Detailed Clinical Observation,,2019-05-10 07:37:00.000,1,25,F,CG
T104349-1,T104349-1-0083,,,NORMAL,CLINICAL SIGNS,,,Detailed Clinical Observation,,2019-05-10 09:01:00.000,2,25,F,CG
T104349-1,T104349-1-0083,,,NORMAL,OPHTHALMOLOGY,,,Ophthalmology With Ophthalmoscope,,2019-05-10 11:04:00.000,4,25,F,CG
T104349-1,T104349-1-0083,,,NORMAL,OPHTHALMOLOGY,,,Ophthalmology Pupil Reflex,,2019-05-10 11:03:00.000,5,25,F,CG
T104349-1,T104349-1-0083,,,NORMAL,OPHTHALMOLOGY,,,Ophthalmology Slit-Lamp Observation,,2019-05-10 11:04:00.000,6,25,F,CG
T104349-1,T104349-1-0083,,,NORMAL,CLINICAL SIGNS,,,Detailed Clinical Observation,,2019-05-13 08:09:00.000,1,28,F,CG
T104349-1,T104349-1-0083,,,NORMAL,CLINICAL SIGNS,,,Detailed Clinical Observation,,2019-05-13 09:18:00.000,2,28,F,CG
T104349-1,T104349-1-0083,,,NORMAL,CLINICAL SIGNS,,,Detailed Clinical Observation,,2019-05-09 08:12:00.000,1,24,F,CG
T104349-1,T104349-1-0083,,,NORMAL,CLINICAL SIGNS,,,Detailed Clinical Observation,,2019-05-09 09:45:00.000,2,24,F,CG
T104349-1,T104349-1-0083,,,NORMAL,CLINICAL SIGNS,,,Open Field Observation,,2019-05-09 08:12:00.000,3,24,F,CG
T104349-1,T104349-1-0017,,,NORMAL,CLINICAL SIGNS,,,Daily Inspection of Animals,,2019-05-20 07:08:00.000,,35,M,CG
T104349-1,T104349-1-0017,,,NORMAL,CLINICAL SIGNS,,,Detailed Clinical Observation,,2019-05-21 09:54:00.000,,36,M,CG
T104349-1,T104349-1-0017,,,NORMAL,CLINICAL SIGNS,,,Daily Inspection of Animals,,2019-05-21 06:36:00.000,,36,M,CG
T104349-1,T104349-1-0017,,,NORMAL,CLINICAL SIGNS,,,Detailed Clinical Observation,,2019-05-01 08:30:00.000,1,16,M,CG
T104349-1,T104349-1-0017,,,NORMAL,CLINICAL SIGNS,,,Detailed Clinical Observation,,2019-05-01 10:38:00.000,2,16,M,CG
T104349-1,T104349-1-0017,,,NORMAL,CLINICAL SIGNS,,,Daily Inspection of Animals,,2019-05-22 06:59:00.000,,37,M,CG
T104349-1,T104349-1-0017,,,NORMAL,CLINICAL SIGNS,,,Daily Inspection of Animals,,2019-05-23 06:40:00.000,,38,M,CG
T104349-1,T104349-1-0017,,,NORMAL,CLINICAL SIGNS,,,Open Field Observation,,2019-05-23 06:46:00.000,,38,M,CG
T104349-1,T104349-1-0017,,,NORMAL,CLINICAL SIGNS,,,Daily Inspection of Animals,,2019-05-24 06:39:00.000,,39,M,CG
T104349-1,T104349-1-0017,,,NORMAL,CLINICAL SIGNS,,,Daily Inspection of Animals,,2019-05-25 06:58:00.000,,40,M,CG
T104349-1,T104349-1-0017,,,NORMAL,CLINICAL SIGNS,,,Detailed Clinical Observation,,2019-05-12 07:42:00.000,1,27,M,CG
T104349-1,T104349-1-0017,,,NORMAL,CLINICAL SIGNS,,,Detailed Clinical Observation,,2019-05-12 10:04:00.000,2,27,M,CG
T104349-1,T104349-1-0017,,,NORMAL,CLINICAL SIGNS,,,Daily Inspection of Animals,,2019-05-15 06:45:00.000,,30,M,CG
T104349-1,T104349-1-0017,,,NORMAL,CLINICAL SIGNS,,,Daily Inspection of Animals,,2019-05-26 07:30:00.000,,41,M,CG
T104349-1,T104349-1-0017,,,NORMAL,CLINICAL SIGNS,,,Daily Inspection of Animals,,2019-05-27 06:39:00.000,,42,M,CG
T104349-1,T104349-1-0017,,,NORMAL,CLINICAL SIGNS,,,Detailed Clinical Observation,,2019-05-04 09:10:00.000,1,19,M,CG
T104349-1,T104349-1-0017,,,NORMAL,CLINICAL SIGNS,,,Detailed Clinical Observation,,2019-05-04 10:57:00.000,2,19,M,CG
T104349-1,T104349-1-0017,,,NORMAL,CLINICAL SIGNS,,,Detailed Clinical Observation,,2019-05-07 06:49:00.000,1,22,M,CG
T104349-1,T104349-1-0017,,,NORMAL,CLINICAL SIGNS,,,Detailed Clinical Observation,,2019-05-07 09:51:00.000,2,22,M,CG
T104349-1,T104349-1-0017,,,NORMAL,CLINICAL SIGNS,,,Detailed Clinical Observation,,2019-05-28 06:13:00.000,,43,M,CG
T104349-1,T104349-1-0017,,,NORMAL,CLINICAL SIGNS,,,Daily Inspection of Animals,,2019-05-28 06:05:00.000,,43,M,CG
T104349-1,T104349-1-0017,,,NORMAL,CLINICAL SIGNS,,,Detailed Clinical Observation,,2019-05-11 07:35:00.000,1,26,M,CG
T104349-1,T104349-1-0017,,,NORMAL,CLINICAL SIGNS,,,Detailed Clinical Observation,,2019-05-11 09:52:00.000,2,26,M,CG
T104349-1,T104349-1-0017,,,NORMAL,CLINICAL SIGNS,,,Detailed Clinical Observation,,2019-05-03 07:10:00.000,1,18,M,CG
T104349-1,T104349-1-0017,,,NORMAL,CLINICAL SIGNS,,,Detailed Clinical Observation,,2019-05-03 08:41:00.000,2,18,M,CG
T104349-1,T104349-1-0017,,,NORMAL,CLINICAL SIGNS,,,Detailed Clinical Observation,,2019-05-06 07:24:00.000,1,21,M,CG
T104349-1,T104349-1-0017,,,NORMAL,CLINICAL SIGNS,,,Detailed Clinical Observation,,2019-05-06 09:05:00.000,2,21,M,CG
T104349-1,T104349-1-0017,,,NORMAL,CLINICAL SIGNS,,,Detailed Clinical Observation,,2019-05-10 07:33:00.000,1,25,M,CG
T104349-1,T104349-1-0017,,,NORMAL,CLINICAL SIGNS,,,Detailed Clinical Observation,,2019-05-10 09:01:00.000,2,25,M,CG
T104349-1,T104349-1-0017,,,NORMAL,CLINICAL SIGNS,,,Daily Inspection of Animals,,2019-05-16 06:15:00.000,,31,M,CG
T104349-1,T104349-1-0017,,,NORMAL,CLINICAL SIGNS,,,Open Field Observation,,2019-05-16 06:17:00.000,,31,M,CG
T104349-1,T104349-1-0017,,,NORMAL,CLINICAL SIGNS,,,Detailed Clinical Observation,,2019-05-09 07:02:00.000,1,24,M,CG
T104349-1,T104349-1-0017,,,NORMAL,CLINICAL SIGNS,,,Detailed Clinical Observation,,2019-05-09 09:45:00.000,2,24,M,CG
T104349-1,T104349-1-0017,,,NORMAL,CLINICAL SIGNS,,,Open Field Observation,,2019-05-09 07:02:00.000,3,24,M,CG
T104349-1,T104349-1-0017,,,NORMAL,CLINICAL SIGNS,,,Detailed Clinical Observation,,2019-05-14 07:08:00.000,,29,M,CG
T104349-1,T104349-1-0017,,,NORMAL,CLINICAL SIGNS,,,Detailed Clinical Observation,,2019-05-14 09:09:00.000,,29,M,CG
T104349-1,T104349-1-0017,,,NORMAL,CLINICAL SIGNS,,,Daily Inspection of Animals,,2019-05-14 09:01:00.000,,29,M,CG
T104349-1,T104349-1-0017,,,NORMAL,CLINICAL SIGNS,,,Detailed Clinical Observation,,2019-05-02 09:24:00.000,1,17,M,CG
T104349-1,T104349-1-0017,,,NORMAL,CLINICAL SIGNS,,,Detailed Clinical Observation,,2019-05-02 11:30:00.000,2,17,M,CG
T104349-1,T104349-1-0017,,,NORMAL,CLINICAL SIGNS,,,Open Field Observation,,2019-05-02 09:24:00.000,3,17,M,CG
T104349-1,T104349-1-0017,,,NORMAL,CLINICAL SIGNS,,,Daily Inspection of Animals,,2019-05-17 06:24:00.000,,32,M,CG
T104349-1,T104349-1-0017,,,NORMAL,CLINICAL SIGNS,,,Daily Inspection of Animals,,2019-05-18 06:21:00.000,,33,M,CG
T104349-1,T104349-1-0017,,,NORMAL,CLINICAL SIGNS,,,Detailed Clinical Observation,,2019-05-13 08:05:00.000,1,28,M,CG
T104349-1,T104349-1-0017,,,NORMAL,CLINICAL SIGNS,,,Detailed Clinical Observation,,2019-05-13 09:18:00.000,2,28,M,CG
T104349-1,T104349-1-0017,,,NORMAL,CLINICAL SIGNS,,,Daily Inspection of Animals,,2019-05-19 06:28:00.000,,34,M,CG
T104349-1,T104349-1-0017,,,NORMAL,CLINICAL SIGNS,,,Detailed Clinical Observation,,2019-05-05 09:31:00.000,1,20,M,CG
T104349-1,T104349-1-0017,,,NORMAL,CLINICAL SIGNS,,,Detailed Clinical Observation,,2019-05-05 11:13:00.000,2,20,M,CG
T104349-1,T104349-1-0017,,,NORMAL,CLINICAL SIGNS,,,Detailed Clinical Observation,,2019-05-08 07:27:00.000,1,23,M,CG
T104349-1,T104349-1-0017,,,NORMAL,CLINICAL SIGNS,,,Detailed Clinical Observation,,2019-05-08 10:10:00.000,2,23,M,CG
T104349-1,T104349-1-0017,,,NORMAL,CLINICAL SIGNS,,,Detailed Clinical Observation,,2019-04-18 08:24:00.000,1,3,M,CG
T104349-1,T104349-1-0017,,,NORMAL,CLINICAL SIGNS,,,Detailed Clinical Observation,,2019-04-18 10:59:00.000,2,3,M,CG
T104349-1,T104349-1-0017,,,NORMAL,CLINICAL SIGNS,,,Open Field Observation,,2019-04-18 08:24:00.000,3,3,M,CG
T104349-1,T104349-1-0017,,,NORMAL,CLINICAL SIGNS,,,Detailed Clinical Observation,,2019-04-22 06:40:00.000,1,7,M,CG
T104349-1,T104349-1-0017,,,NORMAL,CLINICAL SIGNS,,,Detailed Clinical Observation,,2019-04-22 08:19:00.000,2,7,M,CG
T104349-1,T104349-1-0017,,,NORMAL,CLINICAL SIGNS,,,Detailed Clinical Observation,,2019-04-26 07:36:00.000,1,11,M,CG
T104349-1,T104349-1-0017,,,NORMAL,CLINICAL SIGNS,,,Detailed Clinical Observation,,2019-04-26 10:04:00.000,2,11,M,CG
T104349-1,T104349-1-0017,,,NORMAL,CLINICAL SIGNS,,,Detailed Clinical Observation,,2019-04-29 06:52:00.000,1,14,M,CG
T104349-1,T104349-1-0017,,,NORMAL,CLINICAL SIGNS,,,Detailed Clinical Observation,,2019-04-29 08:33:00.000,2,14,M,CG
T104349-1,T104349-1-0017,,,NORMAL,CLINICAL SIGNS,,,Detailed Clinical Observation,,2019-04-15 07:25:00.000,,-1,M,CG
T104349-1,T104349-1-0017,,,NORMAL,CLINICAL SIGNS,,,Open Field Observation,,2019-04-15 07:26:00.000,,-1,M,CG
T104349-1,T104349-1-0017,,,NORMAL,CLINICAL SIGNS,,,Detailed Clinical Observation,,2019-04-25 08:36:00.000,1,10,M,CG
T104349-1,T104349-1-0017,,,NORMAL,CLINICAL SIGNS,,,Detailed Clinical Observation,,2019-04-25 10:56:00.000,2,10,M,CG
T104349-1,T104349-1-0017,,,NORMAL,CLINICAL SIGNS,,,Open Field Observation,,2019-04-25 08:36:00.000,3,10,M,CG
T104349-1,T104349-1-0017,,,NORMAL,CLINICAL SIGNS,,,Detailed Clinical Observation,,2019-04-17 08:37:00.000,1,2,M,CG
T104349-1,T104349-1-0017,,,NORMAL,CLINICAL SIGNS,,,Detailed Clinical Observation,,2019-04-17 10:28:00.000,2,2,M,CG
T104349-1,T104349-1-0017,,,NORMAL,CLINICAL SIGNS,,,Detailed Clinical Observation,,2019-04-21 06:36:00.000,1,6,M,CG
T104349-1,T104349-1-0017,,,NORMAL,CLINICAL SIGNS,,,Detailed Clinical Observation,,2019-04-21 08:16:00.000,2,6,M,CG
T104349-1,T104349-1-0017,,,NORMAL,CLINICAL SIGNS,,,Detailed Clinical Observation,,2019-04-08 06:29:00.000,,-8,M,CG
T104349-1,T104349-1-0017,,,NORMAL,CLINICAL SIGNS,,,Detailed Clinical Observation,,2019-04-24 07:06:00.000,1,9,M,CG
T104349-1,T104349-1-0017,,,NORMAL,CLINICAL SIGNS,,,Detailed Clinical Observation,,2019-04-24 08:35:00.000,2,9,M,CG
T104349-1,T104349-1-0017,,,NORMAL,CLINICAL SIGNS,,,Detailed Clinical Observation,,2019-04-28 07:01:00.000,1,13,M,CG
T104349-1,T104349-1-0017,,,NORMAL,CLINICAL SIGNS,,,Detailed Clinical Observation,,2019-04-28 09:37:00.000,2,13,M,CG
T104349-1,T104349-1-0017,,,NORMAL,CLINICAL SIGNS,,,Detailed Clinical Observation,,2019-04-20 06:51:00.000,1,5,M,CG
T104349-1,T104349-1-0017,,,NORMAL,CLINICAL SIGNS,,,Detailed Clinical Observation,,2019-04-20 08:41:00.000,2,5,M,CG
T104349-1,T104349-1-0017,,,NORMAL,CLINICAL SIGNS,,,Detailed Clinical Observation,,2019-04-16 08:57:00.000,1,1,M,CG
T104349-1,T104349-1-0017,,,NORMAL,OPHTHALMOLOGY,,,Ophthalmology With Ophthalmoscope,,2019-04-09 10:15:00.000,,-7,M,CG
T104349-1,T104349-1-0017,,,NORMAL,OPHTHALMOLOGY,,,Ophthalmology Pupil Reflex,,2019-04-09 10:15:00.000,,-7,M,CG
T104349-1,T104349-1-0017,,,NORMAL,OPHTHALMOLOGY,,,Ophthalmology Slit-Lamp Observation,,2019-04-09 10:16:00.000,,-7,M,CG
T104349-1,T104349-1-0017,,,NORMAL,CLINICAL SIGNS,,,Detailed Clinical Observation,,2019-04-16 10:25:00.000,2,1,M,CG
T104349-1,T104349-1-0017,,,NORMAL,CLINICAL SIGNS,,,Detailed Clinical Observation,,2019-04-23 06:59:00.000,1,8,M,CG
T104349-1,T104349-1-0017,,,NORMAL,CLINICAL SIGNS,,,Detailed Clinical Observation,,2019-04-23 09:12:00.000,2,8,M,CG
T104349-1,T104349-1-0017,,,NORMAL,CLINICAL SIGNS,,,Detailed Clinical Observation,,2019-04-27 07:06:00.000,1,12,M,CG
T104349-1,T104349-1-0017,,,NORMAL,CLINICAL SIGNS,,,Detailed Clinical Observation,,2019-04-27 09:09:00.000,2,12,M,CG
T104349-1,T104349-1-0017,,,NORMAL,CLINICAL SIGNS,,,Detailed Clinical Observation,,2019-04-30 07:07:00.000,1,15,M,CG
T104349-1,T104349-1-0017,,,NORMAL,CLINICAL SIGNS,,,Detailed Clinical Observation,,2019-04-30 09:32:00.000,2,15,M,CG
T104349-1,T104349-1-0017,,,NORMAL,CLINICAL SIGNS,,,Detailed Clinical Observation,,2019-04-19 06:58:00.000,1,4,M,CG
T104349-1,T104349-1-0017,,,NORMAL,CLINICAL SIGNS,,,Detailed Clinical Observation,,2019-04-19 08:49:00.000,2,4,M,CG
T105017-4,T105017-4-0010,,2,NORMAL,CLINICAL SIGNS,Y,,DETAILED CLINICAL OBSERVATION,,2020-11-26 08:22:21.000,1,9,M,CG
T105017-4,T105017-4-0010,,1,NORMAL,CLINICAL SIGNS,Y,,DETAILED CLINICAL OBSERVATION,,2020-11-19 09:58:00.000,2,2,M,CG
T105017-4,T105017-4-0010,,1,NORMAL,CLINICAL SIGNS,Y,,DETAILED CLINICAL OBSERVATION,,2020-11-21 10:10:05.000,2,4,M,CG
T105017-4,T105017-4-0010,,1,NORMAL,CLINICAL SIGNS,Y,,DETAILED CLINICAL OBSERVATION,,2020-11-22 10:13:35.000,2,5,M,CG
T105017-4,T105017-4-0010,,1,NORMAL,CLINICAL SIGNS,Y,,DETAILED CLINICAL OBSERVATION,,2020-11-18 09:58:14.000,2,1,M,CG
T105017-4,T105017-4-0010,,2,NORMAL,CLINICAL SIGNS,Y,,DETAILED CLINICAL OBSERVATION,,2020-11-25 07:22:53.000,1,8,M,CG
T105017-4,T105017-4-0010,,2,NORMAL,CLINICAL SIGNS,Y,,DETAILED CLINICAL OBSERVATION,,2020-11-28 09:46:58.000,2,11,M,CG
T105017-4,T105017-4-0010,,2,NORMAL,CLINICAL SIGNS,Y,,DETAILED CLINICAL OBSERVATION,,2020-11-26 10:56:15.000,2,9,M,CG
T105017-4,T105017-4-0010,,2,NORMAL,CLINICAL SIGNS,Y,,DETAILED CLINICAL OBSERVATION,,2020-11-27 11:00:16.000,2,10,M,CG
T105017-4,T105017-4-0010,,-1,NORMAL,CLINICAL SIGNS,Y,,DETAILED CLINICAL OBSERVATION,,2020-11-12 08:29:52.000,3,-6,M,CG
T105017-4,T105017-4-0010,,1,NORMAL,CLINICAL SIGNS,Y,,DETAILED CLINICAL OBSERVATION,,2020-11-23 06:59:26.000,1,6,M,CG
T105017-4,T105017-4-0010,,1,NORMAL,CLINICAL SIGNS,Y,,DETAILED CLINICAL OBSERVATION,,2020-11-24 07:19:59.000,1,7,M,CG
T105017-4,T105017-4-0010,,1,NORMAL,CLINICAL SIGNS,Y,,DETAILED CLINICAL OBSERVATION,,2020-11-22 08:06:58.000,1,5,M,CG
T105017-4,T105017-4-0010,,1,NORMAL,CLINICAL SIGNS,Y,,DETAILED CLINICAL OBSERVATION,,2020-11-20 06:59:16.000,1,3,M,CG
T105017-4,T105017-4-0010,,1,NORMAL,CLINICAL SIGNS,Y,,DETAILED CLINICAL OBSERVATION,,2020-11-21 08:06:53.000,1,4,M,CG
T105017-4,T105017-4-0010,,1,NORMAL,CLINICAL SIGNS,Y,,DETAILED CLINICAL OBSERVATION,,2020-11-19 07:24:07.000,1,2,M,CG
T105017-4,T105017-4-0010,,1,NORMAL,CLINICAL SIGNS,Y,,DETAILED CLINICAL OBSERVATION,,2020-11-18 07:47:52.000,1,1,M,CG
T105017-4,T105017-4-0010,,2,NORMAL,CLINICAL SIGNS,Y,,DETAILED CLINICAL OBSERVATION,,2020-11-25 11:03:08.000,2,8,M,CG
T105017-4,T105017-4-0010,,2,NORMAL,CLINICAL SIGNS,Y,,DETAILED CLINICAL OBSERVATION,,2020-11-29 08:19:19.000,1,12,M,CG
T105017-4,T105017-4-0010,,1,NORMAL,CLINICAL SIGNS,Y,,DETAILED CLINICAL OBSERVATION,,2020-11-20 09:22:32.000,2,3,M,CG
T105017-4,T105017-4-0010,,2,NORMAL,CLINICAL SIGNS,Y,,DETAILED CLINICAL OBSERVATION,,2020-11-27 08:17:06.000,1,10,M,CG
