SPREFID,USUBJID,OMEXCLFL,OMSTAT,OMREASND,OMTESTCD,OMTEST,OMSPEC,OMSTRES,OMSTRESU,OMDY,SEX,trial_set_description
HCD-05,HCD-05-0082,,,,OWBW,Organ to Body Weight Ratio,UTERUS,0.22155,%,30,F,CG
HCD-05,HCD-05-0082,,,,WEIGHT,Weight,UTERUS,0.437,g,30,F,CG
HCD-05,HCD-05-0082,,,,OWBW,Organ to Body Weight Ratio,KIDNEY,0.75285,%,30,F,CG
HCD-05,HCD-05-0082,,,,WEIGHT,Weight,KIDNEY,1.485,g,30,F,CG
HCD-05,HCD-05-0082,,,,OWBW,Organ to Body Weight Ratio,LIVER,4.0902,%,30,F,CG
HCD-05,HCD-05-0082,,,,WEIGHT,Weight,LIVER,8.068,g,30,F,CG
HCD-05,HCD-05-0082,,,,OWBW,Organ to Body Weight Ratio,HEART,0.35336,%,30,F,CG
HCD-05,HCD-05-0082,,,,WEIGHT,Weight,HEART,0.697,g,30,F,CG
HCD-05,HCD-05-0082,,,,OWBW,Organ to Body Weight Ratio,BRAIN,0.89581,%,30,F,CG
HCD-05,HCD-05-0082,,,,WEIGHT,Weight,BRAIN,1.767,g,30,F,CG
HCD-05,HCD-05-0090,,,,OWBW,Organ to Body Weight Ratio,THYMUS,0.20311,%,58,F,CG
HCD-05,HCD-05-0090,,,,WEIGHT,Weight,THYMUS,0.5,g,58,F,CG
HCD-05,HCD-05-0090,,,,OWBW,Organ to Body Weight Ratio,SPLEEN,0.18565,%,58,F,CG
HCD-05,HCD-05-0090,,,,WEIGHT,Weight,SPLEEN,0.457,g,58,F,CG
HCD-05,HCD-05-0090,,,,OWBW,Organ to Body Weight Ratio,"GLAND, ADRENAL",0.03697,%,58,F,CG
HCD-05,HCD-05-0090,,,,WEIGHT,Weight,"GLAND, ADRENAL",0.091,g,58,F,CG
HCD-05,HCD-05-0090,,,,OWBW,Organ to Body Weight Ratio,UTERUS,0.3587,%,58,F,CG
HCD-05,HCD-05-0090,,,,WEIGHT,Weight,UTERUS,0.883,g,58,F,CG
HCD-05,HCD-05-0090,,,,OWBW,Organ to Body Weight Ratio,KIDNEY,0.7832,%,58,F,CG
HCD-05,HCD-05-0090,,,,WEIGHT,Weight,KIDNEY,1.928,g,58,F,CG
HCD-05,HCD-05-0090,,,,OWBW,Organ to Body Weight Ratio,LIVER,3.7844,%,58,F,CG
HCD-05,HCD-05-0090,,,,WEIGHT,Weight,LIVER,9.316,g,58,F,CG
HCD-05,HCD-05-0090,,,,OWBW,Organ to Body Weight Ratio,HEART,0.33757,%,58,F,CG
HCD-05,HCD-05-0090,,,,WEIGHT,Weight,HEART,0.831,g,58,F,CG
HCD-05,HCD-05-0090,,,,OWBW,Organ to Body Weight Ratio,BRAIN,0.74502,%,58,F,CG
HCD-05,HCD-05-0090,,,,WEIGHT,Weight,BRAIN,1.834,g,58,F,CG
HCD-05,HCD-05-0018,,,,OWBW,Organ to Body Weight Ratio,THYMUS,0.13559,%,58,M,CG
HCD-05,HCD-05-0018,,,,WEIGHT,Weight,THYMUS,0.432,g,58,M,CG
HCD-05,HCD-05-0018,,,,OWBW,Organ to Body Weight Ratio,SPLEEN,0.20622,%,58,M,CG
HCD-05,HCD-05-0018,,,,WEIGHT,Weight,SPLEEN,0.657,g,58,M,CG
HCD-05,HCD-05-0018,,,,OWBW,Organ to Body Weight Ratio,"GLAND, ADRENAL",0.0204,%,58,M,CG
HCD-05,HCD-05-0018,,,,WEIGHT,Weight,"GLAND, ADRENAL",0.065,g,58,M,CG
HCD-05,HCD-05-0018,,,,OWBW,Organ to Body Weight Ratio,"GLAND, SEMINAL VESICLE",0.39392,%,58,M,CG
HCD-05,HCD-05-0018,,,,WEIGHT,Weight,"GLAND, SEMINAL VESICLE",1.255,g,58,M,CG
HCD-05,HCD-05-0018,,,,OWBW,Organ to Body Weight Ratio,"GLAND, PROSTATE",0.2963,%,58,M,CG
HCD-05,HCD-05-0018,,,,WEIGHT,Weight,"GLAND, PROSTATE",0.944,g,58,M,CG
HCD-05,HCD-05-0018,,,,OWBW,Organ to Body Weight Ratio,EPIDIDYMIS,0.44288,%,58,M,CG
HCD-05,HCD-05-0018,,,,WEIGHT,Weight,EPIDIDYMIS,1.411,g,58,M,CG
HCD-05,HCD-05-0018,,,,OWBW,Organ to Body Weight Ratio,TESTIS,1.157,%,58,M,CG
HCD-05,HCD-05-0018,,,,WEIGHT,Weight,TESTIS,3.686,g,58,M,CG
HCD-05,HCD-05-0018,,,,OWBW,Organ to Body Weight Ratio,KIDNEY,0.75017,%,58,M,CG
HCD-05,HCD-05-0018,,,,WEIGHT,Weight,KIDNEY,2.39,g,58,M,CG
HCD-05,HCD-05-0018,,,,OWBW,Organ to Body Weight Ratio,LIVER,3.5685,%,58,M,CG
HCD-05,HCD-05-0018,,,,WEIGHT,Weight,LIVER,11.369,g,58,M,CG
HCD-05,HCD-05-0018,,,,OWBW,Organ to Body Weight Ratio,HEART,0.35374,%,58,M,CG
HCD-05,HCD-05-0018,,,,WEIGHT,Weight,HEART,1.127,g,58,M,CG
HCD-05,HCD-05-0018,,,,OWBW,Organ to Body Weight Ratio,BRAIN,0.64188,%,58,M,CG
HCD-05,HCD-05-0018,,,,WEIGHT,Weight,BRAIN,2.045,g,58,M,CG
HCD-05,HCD-05-0089,,,,OWBW,Organ to Body Weight Ratio,THYMUS,0.21307,%,58,F,CG
HCD-05,HCD-05-0089,,,,WEIGHT,Weight,THYMUS,0.443,g,58,F,CG
HCD-05,HCD-05-0089,,,,OWBW,Organ to Body Weight Ratio,SPLEEN,0.20922,%,58,F,CG
HCD-05,HCD-05-0089,,,,WEIGHT,Weight,SPLEEN,0.435,g,58,F,CG
HCD-05,HCD-05-0089,,,,OWBW,Organ to Body Weight Ratio,"GLAND, ADRENAL",0.0303,%,58,F,CG
HCD-05,HCD-05-0089,,,,WEIGHT,Weight,"GLAND, ADRENAL",0.063,g,58,F,CG
HCD-05,HCD-05-0089,,,,OWBW,Organ to Body Weight Ratio,UTERUS,0.28762,%,58,F,CG
HCD-05,HCD-05-0089,,,,WEIGHT,Weight,UTERUS,0.598,g,58,F,CG
HCD-05,HCD-05-0089,,,,OWBW,Organ to Body Weight Ratio,KIDNEY,0.75079,%,58,F,CG
HCD-05,HCD-05-0089,,,,WEIGHT,Weight,KIDNEY,1.561,g,58,F,CG
HCD-05,HCD-05-0089,,,,OWBW,Organ to Body Weight Ratio,LIVER,3.1893,%,58,F,CG
HCD-05,HCD-05-0089,,,,WEIGHT,Weight,LIVER,6.631,g,58,F,CG
HCD-05,HCD-05-0089,,,,OWBW,Organ to Body Weight Ratio,HEART,0.40546,%,58,F,CG
HCD-05,HCD-05-0089,,,,WEIGHT,Weight,HEART,0.843,g,58,F,CG
HCD-05,HCD-05-0089,,,,OWBW,Organ to Body Weight Ratio,BRAIN,0.89509,%,58,F,CG
HCD-05,HCD-05-0089,,,,WEIGHT,Weight,BRAIN,1.861,g,58,F,CG
HCD-05,HCD-05-0007,,,,OWBW,Organ to Body Weight Ratio,THYMUS,0.13542,%,29,M,CG
HCD-05,HCD-05-0007,,,,WEIGHT,Weight,THYMUS,0.404,g,29,M,CG
HCD-05,HCD-05-0007,,,,OWBW,Organ to Body Weight Ratio,SPLEEN,0.18402,%,29,M,CG
HCD-05,HCD-05-0007,,,,WEIGHT,Weight,SPLEEN,0.549,g,29,M,CG
HCD-05,HCD-05-0007,,,,OWBW,Organ to Body Weight Ratio,"GLAND, ADRENAL",0.01911,%,29,M,CG
HCD-05,HCD-05-0007,,,,WEIGHT,Weight,"GLAND, ADRENAL",0.057,g,29,M,CG
HCD-05,HCD-05-0007,,,,OWBW,Organ to Body Weight Ratio,"GLAND, SEMINAL VESICLE",0.34626,%,29,M,CG
HCD-05,HCD-05-0007,,,,WEIGHT,Weight,"GLAND, SEMINAL VESICLE",1.033,g,29,M,CG
HCD-05,HCD-05-0007,,,,OWBW,Organ to Body Weight Ratio,"GLAND, PROSTATE",0.19877,%,29,M,CG
HCD-05,HCD-05-0007,,,,WEIGHT,Weight,"GLAND, PROSTATE",0.593,g,29,M,CG
HCD-05,HCD-05-0007,,,,OWBW,Organ to Body Weight Ratio,EPIDIDYMIS,0.38849,%,29,M,CG
HCD-05,HCD-05-0007,,,,WEIGHT,Weight,EPIDIDYMIS,1.159,g,29,M,CG
HCD-05,HCD-05-0007,,,,OWBW,Organ to Body Weight Ratio,TESTIS,1.0917,%,29,M,CG
HCD-05,HCD-05-0007,,,,WEIGHT,Weight,TESTIS,3.257,g,29,M,CG
HCD-05,HCD-05-0007,,,,OWBW,Organ to Body Weight Ratio,KIDNEY,0.77296,%,29,M,CG
HCD-05,HCD-05-0007,,,,WEIGHT,Weight,KIDNEY,2.306,g,29,M,CG
HCD-05,HCD-05-0007,,,,OWBW,Organ to Body Weight Ratio,LIVER,3.7405,%,29,M,CG
HCD-05,HCD-05-0007,,,,WEIGHT,Weight,LIVER,11.159,g,29,M,CG
HCD-05,HCD-05-0007,,,,OWBW,Organ to Body Weight Ratio,HEART,0.31307,%,29,M,CG
HCD-05,HCD-05-0007,,,,WEIGHT,Weight,HEART,0.934,g,29,M,CG
HCD-05,HCD-05-0007,,,,OWBW,Organ to Body Weight Ratio,BRAIN,0.66805,%,29,M,CG
HCD-05,HCD-05-0007,,,,WEIGHT,Weight,BRAIN,1.993,g,29,M,CG
HCD-05,HCD-05-0019,,,,OWBW,Organ to Body Weight Ratio,THYMUS,0.16313,%,58,M,CG
HCD-05,HCD-05-0019,,,,WEIGHT,Weight,THYMUS,0.562,g,58,M,CG
HCD-05,HCD-05-0019,,,,OWBW,Organ to Body Weight Ratio,SPLEEN,0.18954,%,58,M,CG
HCD-05,HCD-05-0019,,,,WEIGHT,Weight,SPLEEN,0.653,g,58,M,CG
HCD-05,HCD-05-0019,,,,OWBW,Organ to Body Weight Ratio,"GLAND, ADRENAL",0.01742,%,58,M,CG
HCD-05,HCD-05-0019,,,,WEIGHT,Weight,"GLAND, ADRENAL",0.06,g,58,M,CG
HCD-05,HCD-05-0019,,,,OWBW,Organ to Body Weight Ratio,"GLAND, SEMINAL VESICLE",0.2592,%,58,M,CG
HCD-05,HCD-05-0019,,,,WEIGHT,Weight,"GLAND, SEMINAL VESICLE",0.893,g,58,M,CG
HCD-05,HCD-05-0019,,,,OWBW,Organ to Body Weight Ratio,"GLAND, PROSTATE",0.26385,%,58,M,CG
HCD-05,HCD-05-0019,,,,WEIGHT,Weight,"GLAND, PROSTATE",0.909,g,58,M,CG
HCD-05,HCD-05-0019,,,,OWBW,Organ to Body Weight Ratio,EPIDIDYMIS,0.37386,%,58,M,CG
HCD-05,HCD-05-0019,,,,WEIGHT,Weight,EPIDIDYMIS,1.288,g,58,M,CG
HCD-05,HCD-05-0019,,,,OWBW,Organ to Body Weight Ratio,TESTIS,1.1764,%,58,M,CG
HCD-05,HCD-05-0019,,,,WEIGHT,Weight,TESTIS,4.053,g,58,M,CG
HCD-05,HCD-05-0019,,,,OWBW,Organ to Body Weight Ratio,KIDNEY,0.72217,%,58,M,CG
HCD-05,HCD-05-0019,,,,WEIGHT,Weight,KIDNEY,2.488,g,58,M,CG
HCD-05,HCD-05-0019,,,,OWBW,Organ to Body Weight Ratio,LIVER,3.0573,%,58,M,CG
HCD-05,HCD-05-0019,,,,WEIGHT,Weight,LIVER,10.533,g,58,M,CG
HCD-05,HCD-05-0019,,,,OWBW,Organ to Body Weight Ratio,HEART,0.34919,%,58,M,CG
HCD-05,HCD-05-0019,,,,WEIGHT,Weight,HEART,1.203,g,58,M,CG
HCD-05,HCD-05-0019,,,,OWBW,Organ to Body Weight Ratio,BRAIN,0.61942,%,58,M,CG
HCD-05,HCD-05-0019,,,,WEIGHT,Weight,BRAIN,2.134,g,58,M,CG
HCD-05,HCD-05-0083,,,,WEIGHT,Weight,"GLAND, ADRENAL",0.097,g,30,F,CG
HCD-05,HCD-05-0083,,,,OWBW,Organ to Body Weight Ratio,UTERUS,0.20653,%,30,F,CG
HCD-05,HCD-05-0083,,,,WEIGHT,Weight,UTERUS,0.413,g,30,F,CG
HCD-05,HCD-05-0083,,,,OWBW,Organ to Body Weight Ratio,KIDNEY,0.72812,%,30,F,CG
HCD-05,HCD-05-0083,,,,WEIGHT,Weight,KIDNEY,1.456,g,30,F,CG
HCD-05,HCD-05-0083,,,,OWBW,Organ to Body Weight Ratio,LIVER,4.2952,%,30,F,CG
HCD-05,HCD-05-0083,,,,WEIGHT,Weight,LIVER,8.589,g,30,F,CG
HCD-05,HCD-05-0083,,,,OWBW,Organ to Body Weight Ratio,HEART,0.33856,%,30,F,CG
HCD-05,HCD-05-0083,,,,WEIGHT,Weight,HEART,0.677,g,30,F,CG
HCD-05,HCD-05-0083,,,,OWBW,Organ to Body Weight Ratio,BRAIN,0.93365,%,30,F,CG
HCD-05,HCD-05-0083,,,,WEIGHT,Weight,BRAIN,1.867,g,30,F,CG
HCD-05,HCD-05-0083,,,,OWBW,Organ to Body Weight Ratio,THYMUS,0.24004,%,30,F,CG
HCD-05,HCD-05-0083,,,,WEIGHT,Weight,THYMUS,0.48,g,30,F,CG
HCD-05,HCD-05-0083,,,,OWBW,Organ to Body Weight Ratio,SPLEEN,0.25954,%,30,F,CG
HCD-05,HCD-05-0083,,,,WEIGHT,Weight,SPLEEN,0.519,g,30,F,CG
HCD-05,HCD-05-0083,,,,OWBW,Organ to Body Weight Ratio,"GLAND, ADRENAL",0.04851,%,30,F,CG
HCD-05,HCD-05-0008,,,,OWBW,Organ to Body Weight Ratio,THYMUS,0.18392,%,29,M,CG
HCD-05,HCD-05-0008,,,,WEIGHT,Weight,THYMUS,0.469,g,29,M,CG
HCD-05,HCD-05-0008,,,,OWBW,Organ to Body Weight Ratio,SPLEEN,0.20392,%,29,M,CG
HCD-05,HCD-05-0008,,,,WEIGHT,Weight,SPLEEN,0.52,g,29,M,CG
HCD-05,HCD-05-0008,,,,OWBW,Organ to Body Weight Ratio,"GLAND, ADRENAL",0.02471,%,29,M,CG
HCD-05,HCD-05-0008,,,,WEIGHT,Weight,"GLAND, ADRENAL",0.063,g,29,M,CG
HCD-05,HCD-05-0008,,,,OWBW,Organ to Body Weight Ratio,"GLAND, SEMINAL VESICLE",0.34548,%,29,M,CG
HCD-05,HCD-05-0008,,,,WEIGHT,Weight,"GLAND, SEMINAL VESICLE",0.881,g,29,M,CG
HCD-05,HCD-05-0008,,,,OWBW,Organ to Body Weight Ratio,"GLAND, PROSTATE",0.26078,%,29,M,CG
HCD-05,HCD-05-0008,,,,WEIGHT,Weight,"GLAND, PROSTATE",0.665,g,29,M,CG
HCD-05,HCD-05-0008,,,,OWBW,Organ to Body Weight Ratio,EPIDIDYMIS,0.43136,%,29,M,CG
HCD-05,HCD-05-0008,,,,WEIGHT,Weight,EPIDIDYMIS,1.1,g,29,M,CG
HCD-05,HCD-05-0008,,,,OWBW,Organ to Body Weight Ratio,TESTIS,1.3686,%,29,M,CG
HCD-05,HCD-05-0008,,,,WEIGHT,Weight,TESTIS,3.49,g,29,M,CG
HCD-05,HCD-05-0008,,,,OWBW,Organ to Body Weight Ratio,KIDNEY,0.87135,%,29,M,CG
HCD-05,HCD-05-0008,,,,WEIGHT,Weight,KIDNEY,2.222,g,29,M,CG
HCD-05,HCD-05-0008,,,,OWBW,Organ to Body Weight Ratio,LIVER,3.7921,%,29,M,CG
HCD-05,HCD-05-0008,,,,WEIGHT,Weight,LIVER,9.67,g,29,M,CG
HCD-05,HCD-05-0008,,,,OWBW,Organ to Body Weight Ratio,HEART,0.3694,%,29,M,CG
HCD-05,HCD-05-0008,,,,WEIGHT,Weight,HEART,0.942,g,29,M,CG
HCD-05,HCD-05-0008,,,,OWBW,Organ to Body Weight Ratio,BRAIN,0.7592,%,29,M,CG
HCD-05,HCD-05-0008,,,,WEIGHT,Weight,BRAIN,1.936,g,29,M,CG
HCD-05,HCD-05-0009,,,,OWBW,Organ to Body Weight Ratio,THYMUS,0.16491,%,30,M,CG
HCD-05,HCD-05-0009,,,,WEIGHT,Weight,THYMUS,0.477,g,30,M,CG
HCD-05,HCD-05-0009,,,,OWBW,Organ to Body Weight Ratio,SPLEEN,0.19775,%,30,M,CG
HCD-05,HCD-05-0009,,,,WEIGHT,Weight,SPLEEN,0.572,g,30,M,CG
HCD-05,HCD-05-0009,,,,OWBW,Organ to Body Weight Ratio,"GLAND, ADRENAL",0.02074,%,30,M,CG
HCD-05,HCD-05-0009,,,,WEIGHT,Weight,"GLAND, ADRENAL",0.06,g,30,M,CG
HCD-05,HCD-05-0009,,,,OWBW,Organ to Body Weight Ratio,"GLAND, SEMINAL VESICLE",0.34572,%,30,M,CG
HCD-05,HCD-05-0009,,,,WEIGHT,Weight,"GLAND, SEMINAL VESICLE",1,g,30,M,CG
HCD-05,HCD-05-0009,,,,OWBW,Organ to Body Weight Ratio,"GLAND, PROSTATE",0.23336,%,30,M,CG
HCD-05,HCD-05-0009,,,,WEIGHT,Weight,"GLAND, PROSTATE",0.675,g,30,M,CG
HCD-05,HCD-05-0009,,,,OWBW,Organ to Body Weight Ratio,EPIDIDYMIS,0.3713,%,30,M,CG
HCD-05,HCD-05-0009,,,,WEIGHT,Weight,EPIDIDYMIS,1.074,g,30,M,CG
HCD-05,HCD-05-0009,,,,OWBW,Organ to Body Weight Ratio,TESTIS,1.1523,%,30,M,CG
HCD-05,HCD-05-0009,,,,WEIGHT,Weight,TESTIS,3.333,g,30,M,CG
HCD-05,HCD-05-0009,,,,OWBW,Organ to Body Weight Ratio,KIDNEY,0.79343,%,30,M,CG
HCD-05,HCD-05-0009,,,,WEIGHT,Weight,KIDNEY,2.295,g,30,M,CG
HCD-05,HCD-05-0009,,,,OWBW,Organ to Body Weight Ratio,LIVER,4.0674,%,30,M,CG
HCD-05,HCD-05-0009,,,,WEIGHT,Weight,LIVER,11.765,g,30,M,CG
HCD-05,HCD-05-0009,,,,OWBW,Organ to Body Weight Ratio,HEART,0.37269,%,30,M,CG
HCD-05,HCD-05-0009,,,,WEIGHT,Weight,HEART,1.078,g,30,M,CG
HCD-05,HCD-05-0009,,,,OWBW,Organ to Body Weight Ratio,BRAIN,0.6178,%,30,M,CG
HCD-05,HCD-05-0009,,,,WEIGHT,Weight,BRAIN,1.787,g,30,M,CG
HCD-05,HCD-05-0004,,,,OWBW,Organ to Body Weight Ratio,THYMUS,0.12236,%,29,M,CG
HCD-05,HCD-05-0004,,,,WEIGHT,Weight,THYMUS,0.374,g,29,M,CG
HCD-05,HCD-05-0004,,,,OWBW,Organ to Body Weight Ratio,SPLEEN,0.1613,%,29,M,CG
HCD-05,HCD-05-0004,,,,WEIGHT,Weight,SPLEEN,0.493,g,29,M,CG
HCD-05,HCD-05-0004,,,,OWBW,Organ to Body Weight Ratio,"GLAND, ADRENAL",0.02094,%,29,M,CG
HCD-05,HCD-05-0004,,,,WEIGHT,Weight,"GLAND, ADRENAL",0.064,g,29,M,CG
HCD-05,HCD-05-0004,,,,OWBW,Organ to Body Weight Ratio,"GLAND, SEMINAL VESICLE",0.32096,%,29,M,CG
HCD-05,HCD-05-0004,,,,WEIGHT,Weight,"GLAND, SEMINAL VESICLE",0.981,g,29,M,CG
HCD-05,HCD-05-0004,,,,OWBW,Organ to Body Weight Ratio,"GLAND, PROSTATE",0.20088,%,29,M,CG
HCD-05,HCD-05-0004,,,,WEIGHT,Weight,"GLAND, PROSTATE",0.614,g,29,M,CG
HCD-05,HCD-05-0004,,,,OWBW,Organ to Body Weight Ratio,EPIDIDYMIS,0.35171,%,29,M,CG
HCD-05,HCD-05-0004,,,,WEIGHT,Weight,EPIDIDYMIS,1.075,g,29,M,CG
HCD-05,HCD-05-0004,,,,OWBW,Organ to Body Weight Ratio,TESTIS,1.1258,%,29,M,CG
HCD-05,HCD-05-0004,,,,WEIGHT,Weight,TESTIS,3.441,g,29,M,CG
HCD-05,HCD-05-0004,,,,OWBW,Organ to Body Weight Ratio,KIDNEY,0.80026,%,29,M,CG
HCD-05,HCD-05-0004,,,,WEIGHT,Weight,KIDNEY,2.446,g,29,M,CG
HCD-05,HCD-05-0004,,,,OWBW,Organ to Body Weight Ratio,LIVER,4.0965,%,29,M,CG
HCD-05,HCD-05-0004,,,,WEIGHT,Weight,LIVER,12.521,g,29,M,CG
HCD-05,HCD-05-0004,,,,OWBW,Organ to Body Weight Ratio,HEART,0.32488,%,29,M,CG
HCD-05,HCD-05-0004,,,,WEIGHT,Weight,HEART,0.993,g,29,M,CG
HCD-05,HCD-05-0004,,,,OWBW,Organ to Body Weight Ratio,BRAIN,0.72599,%,29,M,CG
HCD-05,HCD-05-0004,,,,WEIGHT,Weight,BRAIN,2.219,g,29,M,CG
HCD-05,HCD-05-0015,,,,OWBW,Organ to Body Weight Ratio,THYMUS,0.09821,%,58,M,CG
HCD-05,HCD-05-0015,,,,WEIGHT,Weight,THYMUS,0.338,g,58,M,CG
HCD-05,HCD-05-0015,,,,OWBW,Organ to Body Weight Ratio,SPLEEN,0.20338,%,58,M,CG
HCD-05,HCD-05-0015,,,,WEIGHT,Weight,SPLEEN,0.7,g,58,M,CG
HCD-05,HCD-05-0015,,,,OWBW,Organ to Body Weight Ratio,"GLAND, ADRENAL",0.01685,%,58,M,CG
HCD-05,HCD-05-0015,,,,WEIGHT,Weight,"GLAND, ADRENAL",0.058,g,58,M,CG
HCD-05,HCD-05-0015,,,,OWBW,Organ to Body Weight Ratio,"GLAND, SEMINAL VESICLE",0.29375,%,58,M,CG
HCD-05,HCD-05-0015,,,,WEIGHT,Weight,"GLAND, SEMINAL VESICLE",1.011,g,58,M,CG
HCD-05,HCD-05-0015,,,,OWBW,Organ to Body Weight Ratio,"GLAND, PROSTATE",0.2336,%,58,M,CG
HCD-05,HCD-05-0015,,,,WEIGHT,Weight,"GLAND, PROSTATE",0.804,g,58,M,CG
HCD-05,HCD-05-0015,,,,OWBW,Organ to Body Weight Ratio,EPIDIDYMIS,0.38905,%,58,M,CG
HCD-05,HCD-05-0015,,,,WEIGHT,Weight,EPIDIDYMIS,1.339,g,58,M,CG
